[02] , [5B] , [00] , [E9] , [2F] , [3A] , [5A] , [D1] , 25:10:16:06:48:777
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:48:911
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:48:911
[02] , [5B] , [00] , [EA] , [30] , [39] , [5A] , [D1] , 25:10:16:06:48:911
[03] , [5B] , [00] , [EA] , [FF] , [A2] , [B6] , [29] , 25:10:16:06:48:944
[01] , [5B] , [00] , [EB] , [5B] , [FF] , [55] , [EC] , 25:10:16:06:49:011
[02] , [5B] , [00] , [EB] , [30] , [39] , [5A] , [D1] , 25:10:16:06:49:044
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:49:144
[01] , [5B] , [00] , [EC] , [5A] , [FF] , [56] , [EC] , 25:10:16:06:49:144
[02] , [5B] , [00] , [ED] , [2E] , [3A] , [5A] , [D0] , 25:10:16:06:49:177
[03] , [5B] , [00] , [ED] , [01] , [A0] , [B9] , [28] , 25:10:16:06:49:211
[01] , [5C] , [00] , [EE] , [59] , [00] , [58] , [EE] , 25:10:16:06:49:278
[02] , [5B] , [00] , [EE] , [2E] , [3B] , [5A] , [D1] , 25:10:16:06:49:310
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:49:410
[01] , [5B] , [00] , [EF] , [58] , [00] , [59] , [EE] , 25:10:16:06:49:410
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:49:477
[03] , [5C] , [00] , [F0] , [02] , [9E] , [BB] , [28] , 25:10:16:06:49:477
[01] , [5B] , [00] , [F0] , [57] , [FF] , [5A] , [EF] , 25:10:16:06:49:544
[02] , [5B] , [00] , [F1] , [2D] , [3B] , [5B] , [D2] , 25:10:16:06:49:577
[03] , [5C] , [00] , [F1] , [02] , [9D] , [BC] , [27] , 25:10:16:06:49:610
[01] , [5B] , [00] , [F2] , [55] , [FF] , [5C] , [EE] , 25:10:16:06:49:677
[02] , [5B] , [00] , [F2] , [2D] , [3B] , [5B] , [D2] , 25:10:16:06:49:710
[03] , [5C] , [00] , [F2] , [02] , [9C] , [BD] , [27] , 25:10:16:06:49:745
[01] , [5B] , [00] , [F3] , [54] , [FF] , [5C] , [EE] , 25:10:16:06:49:810
[02] , [5B] , [00] , [F3] , [2D] , [3B] , [5B] , [D2] , 25:10:16:06:49:843
[03] , [5C] , [00] , [F4] , [02] , [9B] , [BF] , [26] , 25:10:16:06:49:877
[01] , [5B] , [00] , [F4] , [54] , [FF] , [5D] , [EF] , 25:10:16:06:49:944
[02] , [5B] , [00] , [F5] , [2D] , [3B] , [5B] , [D3] , 25:10:16:06:49:977
[03] , [5C] , [00] , [F5] , [02] , [9A] , [C0] , [26] , 25:10:16:06:50:010
[01] , [5C] , [00] , [F6] , [53] , [00] , [5D] , [EF] , 25:10:16:06:50:077
[02] , [5B] , [00] , [F6] , [2D] , [3C] , [5B] , [D3] , 25:10:16:06:50:110
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:50:210
[01] , [5B] , [00] , [F7] , [53] , [00] , [5D] , [EE] , 25:10:16:06:50:210
[02] , [5B] , [00] , [F7] , [2C] , [3C] , [5B] , [D2] , 25:10:16:06:50:243
[03] , [5B] , [00] , [F8] , [06] , [98] , [C4] , [27] , 25:10:16:06:50:277
[01] , [5C] , [00] , [F8] , [53] , [00] , [5D] , [ED] , 25:10:16:06:50:343
[02] , [5B] , [00] , [F9] , [2B] , [3D] , [5A] , [D1] , 25:10:16:06:50:377
[03] , [5B] , [00] , [F9] , [07] , [97] , [C6] , [27] , 25:10:16:06:50:410
[01] , [5B] , [00] , [FA] , [52] , [00] , [5E] , [EC] , 25:10:16:06:50:477
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:50:543
[03] , [5B] , [00] , [FA] , [08] , [97] , [C8] , [27] , 25:10:16:06:50:543
[01] , [5B] , [00] , [FB] , [52] , [00] , [5E] , [EC] , 25:10:16:06:50:610
[02] , [5B] , [00] , [FB] , [2A] , [3F] , [59] , [D1] , 25:10:16:06:50:643
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:50:910
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:50:910
[02] , [5B] , [00] , [FE] , [2A] , [40] , [58] , [D0] , 25:10:16:06:50:910
[03] , [5B] , [00] , [FE] , [07] , [94] , [CB] , [26] , 25:10:16:06:50:943
[01] , [5C] , [00] , [FF] , [52] , [03] , [5E] , [EC] , 25:10:16:06:51:010
[02] , [5B] , [00] , [FF] , [2A] , [41] , [58] , [D0] , 25:10:16:06:51:043
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:06:51:143
[01] , [5C] , [00] , [00] , [51] , [04] , [5E] , [ED] , 25:10:16:06:51:143
[02] , [5B] , [00] , [01] , [2A] , [42] , [57] , [D0] , 25:10:16:06:51:176
[03] , [5C] , [00] , [01] , [08] , [93] , [CE] , [26] , 25:10:16:06:51:210
[01] , [5B] , [00] , [02] , [51] , [04] , [5F] , [EE] , 25:10:16:06:51:276
