[03] , [5A] , [00] , [2A] , [F2] , [73] , [ED] , [D1] , 25:10:15:25:58:439
[01] , [5B] , [00] , [2B] , [0B] , [6E] , [1D] , [CB] , 25:10:15:25:58:505
[02] , [5A] , [00] , [2B] , [F0] , [76] , [00] , [D5] , 25:10:15:25:58:539
[03] , [5A] , [00] , [2C] , [F1] , [71] , [EA] , [CF] , 25:10:15:25:58:572
[01] , [5B] , [00] , [2C] , [09] , [6E] , [1E] , [CB] , 25:10:15:25:58:639
[02] , [5A] , [00] , [2D] , [EF] , [76] , [01] , [D5] , 25:10:15:25:58:672
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:58:772
[01] , [5A] , [00] , [2E] , [08] , [6E] , [1D] , [CA] , 25:10:15:25:58:772
[02] , [5A] , [00] , [2F] , [EF] , [75] , [02] , [D3] , 25:10:15:25:58:939
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:59:072
[01] , [5A] , [00] , [31] , [07] , [6E] , [1C] , [C8] , 25:10:15:25:59:072
[02] , [5A] , [00] , [31] , [EE] , [74] , [02] , [D2] , 25:10:15:25:59:105
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:59:174
[01] , [5B] , [00] , [32] , [07] , [6D] , [1B] , [C8] , 25:10:15:25:59:205
[02] , [5A] , [00] , [32] , [EE] , [74] , [02] , [D1] , 25:10:15:25:59:238
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:25:59:338
[01] , [5A] , [00] , [33] , [06] , [6E] , [1A] , [C7] , 25:10:15:25:59:338
[02] , [5A] , [00] , [34] , [F2] , [74] , [02] , [D1] , 25:10:15:25:59:372
[03] , [5B] , [00] , [34] , [F6] , [75] , [F1] , [D4] , 25:10:15:25:59:405
[01] , [5A] , [00] , [35] , [09] , [6E] , [17] , [C7] , 25:10:15:25:59:472
[02] , [5A] , [00] , [35] , [F3] , [75] , [03] , [D1] , 25:10:15:25:59:505
[03] , [5B] , [00] , [35] , [F7] , [75] , [F2] , [D4] , 25:10:15:25:59:538
[01] , [5A] , [00] , [36] , [0B] , [6E] , [17] , [C7] , 25:10:15:25:59:605
[02] , [5A] , [00] , [36] , [F2] , [74] , [04] , [D1] , 25:10:15:25:59:638
[03] , [5B] , [00] , [37] , [F6] , [76] , [F3] , [D5] , 25:10:15:25:59:671
[01] , [5B] , [00] , [37] , [0C] , [6D] , [18] , [C7] , 25:10:15:25:59:738
[02] , [5A] , [00] , [38] , [F0] , [74] , [04] , [D0] , 25:10:15:25:59:771
[03] , [5A] , [00] , [38] , [F6] , [76] , [F3] , [D5] , 25:10:15:25:59:805
[01] , [5A] , [00] , [39] , [0C] , [6D] , [1A] , [C6] , 25:10:15:25:59:872
[02] , [5A] , [00] , [39] , [F0] , [73] , [03] , [CF] , 25:10:15:25:59:905
[03] , [5A] , [00] , [39] , [F5] , [75] , [F2] , [D5] , 25:10:15:25:59:938
[01] , [5A] , [00] , [3A] , [0B] , [6C] , [1B] , [C6] , 25:10:15:26:00:005
[02] , [5A] , [00] , [3A] , [ED] , [73] , [03] , [D0] , 25:10:15:26:00:038
[03] , [5A] , [00] , [3B] , [F0] , [75] , [EF] , [D7] , 25:10:15:26:00:072
[01] , [5B] , [00] , [3B] , [0A] , [6C] , [1B] , [C5] , 25:10:15:26:00:138
[02] , [5A] , [00] , [3C] , [E9] , [73] , [01] , [D1] , 25:10:15:26:00:171
[03] , [5A] , [00] , [3C] , [EE] , [75] , [EE] , [D8] , 25:10:15:26:00:205
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:26:00:305
[02] , [5A] , [00] , [3D] , [E7] , [73] , [00] , [D2] , 25:10:15:26:00:305
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:26:00:371
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:26:00:438
[02] , [5A] , [00] , [3E] , [E6] , [73] , [00] , [D3] , 25:10:15:26:00:438
[03] , [5B] , [00] , [3F] , [EB] , [74] , [EA] , [D9] , 25:10:15:26:00:471
[01] , [5A] , [00] , [3F] , [04] , [6C] , [19] , [C5] , 25:10:15:26:00:538
[02] , [5A] , [00] , [40] , [E6] , [73] , [FF] , [D3] , 25:10:15:26:00:571
[03] , [5A] , [00] , [40] , [EB] , [74] , [EA] , [DA] , 25:10:15:26:00:604
[01] , [5B] , [00] , [41] , [05] , [6D] , [18] , [C5] , 25:10:15:26:00:671
[02] , [5A] , [00] , [41] , [E8] , [74] , [FE] , [D4] , 25:10:15:26:00:704
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:26:00:804
[01] , [5B] , [00] , [42] , [06] , [6D] , [17] , [C5] , 25:10:15:26:00:804
[02] , [5A] , [00] , [42] , [EA] , [74] , [FF] , [D4] , 25:10:15:26:00:838
[03] , [5A] , [00] , [43] , [EE] , [75] , [EB] , [D8] , 25:10:15:26:00:871
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:26:00:971
[02] , [5A] , [00] , [44] , [EA] , [74] , [00] , [D4] , 25:10:15:26:00:971
[03] , [5A] , [00] , [44] , [EE] , [75] , [EA] , [D9] , 25:10:15:26:01:004
[01] , [5A] , [00] , [45] , [05] , [6D] , [19] , [C6] , 25:10:15:26:01:071
[02] , [5A] , [00] , [45] , [E8] , [74] , [00] , [D4] , 25:10:15:26:01:104
[03] , [5B] , [00] , [45] , [ED] , [74] , [E9] , [D9] , 25:10:15:26:01:138
[01] , [5B] , [00] , [46] , [04] , [6D] , [19] , [C5] , 25:10:15:26:01:204
[02] , [5A] , [00] , [46] , [E5] , [73] , [00] , [D4] , 25:10:15:26:01:237
[03] , [5B] , [00] , [47] , [E8] , [73] , [E5] , [DB] , 25:10:15:26:01:271
[01] , [5A] , [00] , [47] , [02] , [6C] , [19] , [C4] , 25:10:15:26:01:337
[02] , [5A] , [00] , [48] , [DE] , [72] , [FF] , [D6] , 25:10:15:26:01:371
[03] , [5A] , [00] , [48] , [E6] , [73] , [E4] , [DC] , 25:10:15:26:01:404
[01] , [5B] , [00] , [49] , [FE] , [6C] , [18] , [C3] , 25:10:15:26:01:471
[02] , [5A] , [00] , [49] , [DB] , [72] , [FD] , [D7] , 25:10:15:26:01:504
[03] , [5A] , [00] , [49] , [E3] , [72] , [E2] , [DD] , 25:10:15:26:01:538
[01] , [5B] , [00] , [4A] , [FC] , [6C] , [17] , [C3] , 25:10:15:26:01:604
[02] , [5A] , [00] , [4A] , [D8] , [71] , [FC] , [D8] , 25:10:15:26:01:637
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:26:01:771
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:26:01:771
[02] , [5A] , [00] , [4C] , [D4] , [70] , [FA] , [DA] , 25:10:15:26:01:771
[03] , [5B] , [00] , [4C] , [DD] , [70] , [DE] , [E0] , 25:10:15:26:01:804
[01] , [5A] , [00] , [4D] , [F7] , [6C] , [14] , [C3] , 25:10:15:26:01:871
[02] , [5A] , [00] , [4D] , [D3] , [6F] , [F9] , [DA] , 25:10:15:26:01:904
[03] , [5B] , [00] , [4D] , [DB] , [6F] , [DD] , [E1] , 25:10:15:26:01:937
[01] , [5B] , [00] , [4E] , [F5] , [6C] , [13] , [C3] , 25:10:15:26:02:004
[02] , [5A] , [00] , [4E] , [D1] , [6F] , [F7] , [DC] , 25:10:15:26:02:037
[03] , [5B] , [00] , [4F] , [D8] , [6C] , [DA] , [DF] , 25:10:15:26:02:070
[01] , [5A] , [00] , [4F] , [F2] , [6D] , [12] , [C4] , 25:10:15:26:02:137
[02] , [5A] , [00] , [50] , [D1] , [71] , [F2] , [E3] , 25:10:15:26:02:170
[03] , [5A] , [00] , [50] , [D6] , [6A] , [D7] , [DD] , 25:10:15:26:02:203
[01] , [5B] , [00] , [51] , [EF] , [6E] , [10] , [C6] , 25:10:15:26:02:270
[02] , [5A] , [00] , [51] , [D1] , [71] , [F0] , [E5] , 25:10:15:26:02:303
[03] , [5A] , [00] , [51] , [D5] , [69] , [D6] , [DC] , 25:10:15:26:02:337
[01] , [5A] , [00] , [52] , [EF] , [6E] , [10] , [C7] , 25:10:15:26:02:403
[02] , [5B] , [00] , [52] , [D1] , [70] , [EF] , [E4] , 25:10:15:26:02:437
[03] , [5A] , [00] , [53] , [D6] , [6A] , [DA] , [DB] , 25:10:15:26:02:470
[01] , [5A] , [00] , [53] , [F1] , [6F] , [0F] , [C7] , 25:10:15:26:02:537
