[02] , [5C] , [00] , [1C] , [E0] , [71] , [F9] , [D3] , 25:10:16:42:18:099
[03] , [5B] , [00] , [1C] , [0F] , [8C] , [1E] , [25] , 25:10:16:42:18:132
[01] , [5B] , [00] , [1D] , [0E] , [6C] , [23] , [CA] , 25:10:16:42:18:198
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:18:265
[03] , [5B] , [00] , [1D] , [10] , [8C] , [1F] , [25] , 25:10:16:42:18:265
[01] , [5C] , [00] , [1E] , [0E] , [6C] , [23] , [CA] , 25:10:16:42:18:332
[02] , [5B] , [00] , [1F] , [E1] , [72] , [FA] , [D3] , 25:10:16:42:18:365
[03] , [5B] , [00] , [1F] , [10] , [8D] , [1F] , [25] , 25:10:16:42:18:398
[01] , [5C] , [00] , [20] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:18:465
[02] , [5B] , [00] , [20] , [E1] , [71] , [FA] , [D2] , 25:10:16:42:18:498
[03] , [5B] , [00] , [20] , [10] , [8D] , [1F] , [25] , 25:10:16:42:18:532
[01] , [5B] , [00] , [21] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:18:598
[02] , [5B] , [00] , [21] , [E1] , [71] , [FA] , [D2] , 25:10:16:42:18:632
[03] , [5C] , [00] , [21] , [0F] , [8C] , [1F] , [25] , 25:10:16:42:18:665
[01] , [5B] , [00] , [22] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:18:732
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:18:798
[03] , [5B] , [00] , [23] , [10] , [8D] , [1F] , [25] , 25:10:16:42:18:798
[01] , [5B] , [00] , [24] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:18:865
[02] , [5C] , [00] , [24] , [E0] , [71] , [FA] , [D1] , 25:10:16:42:18:898
[03] , [5B] , [00] , [24] , [10] , [8D] , [1F] , [25] , 25:10:16:42:18:932
[01] , [5B] , [00] , [25] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:18:998
[02] , [5B] , [00] , [25] , [E0] , [71] , [FA] , [D1] , 25:10:16:42:19:032
[03] , [5B] , [00] , [25] , [10] , [8D] , [1F] , [25] , 25:10:16:42:19:065
[01] , [5B] , [00] , [26] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:19:132
[02] , [5B] , [00] , [27] , [E0] , [71] , [FA] , [D1] , 25:10:16:42:19:165
[03] , [5C] , [00] , [27] , [0F] , [8D] , [1F] , [25] , 25:10:16:42:19:198
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:16:42:19:298
[02] , [5B] , [00] , [28] , [E0] , [71] , [FA] , [D1] , 25:10:16:42:19:298
[03] , [5B] , [00] , [28] , [10] , [8D] , [1F] , [25] , 25:10:16:42:19:331
[01] , [5B] , [00] , [29] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:19:398
[02] , [5C] , [00] , [29] , [E0] , [71] , [FA] , [D1] , 25:10:16:42:19:431
[03] , [5C] , [00] , [29] , [10] , [8D] , [1F] , [25] , 25:10:16:42:19:465
[01] , [5B] , [00] , [2A] , [0D] , [6C] , [23] , [CA] , 25:10:16:42:19:531
[02] , [5B] , [00] , [2B] , [E0] , [71] , [FA] , [D1] , 25:10:16:42:19:565
