[02] , [5B] , [00] , [0E] , [14] , [8E] , [FB] , [32] , 25:10:15:53:13:540
[03] , [5B] , [00] , [0E] , [02] , [76] , [15] , [D9] , 25:10:15:53:13:573
[01] , [5B] , [00] , [0F] , [DC] , [9B] , [E6] , [3D] , 25:10:15:53:13:640
[02] , [5B] , [00] , [0F] , [14] , [8E] , [FB] , [32] , 25:10:15:53:13:673
[03] , [5B] , [00] , [10] , [01] , [76] , [14] , [D9] , 25:10:15:53:13:707
[01] , [5B] , [00] , [10] , [DD] , [9A] , [E6] , [3D] , 25:10:15:53:13:773
[02] , [5B] , [00] , [11] , [15] , [8E] , [FC] , [31] , 25:10:15:53:13:807
[03] , [5B] , [00] , [11] , [00] , [76] , [14] , [D8] , 25:10:15:53:13:840
[01] , [5B] , [00] , [12] , [DF] , [9A] , [E6] , [3D] , 25:10:15:53:13:907
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:14:040
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:14:040
[01] , [5B] , [00] , [13] , [DF] , [9A] , [E7] , [3D] , 25:10:15:53:14:040
[02] , [5B] , [00] , [13] , [16] , [8E] , [FC] , [31] , 25:10:15:53:14:073
[03] , [5B] , [00] , [14] , [00] , [76] , [13] , [D9] , 25:10:15:53:14:107
[01] , [5C] , [00] , [14] , [E0] , [99] , [E7] , [3D] , 25:10:15:53:14:173
[02] , [5B] , [00] , [15] , [17] , [8E] , [FC] , [31] , 25:10:15:53:14:206
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:14:306
[01] , [5B] , [00] , [16] , [E3] , [99] , [E8] , [3E] , 25:10:15:53:14:306
[02] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:14:373
[03] , [5B] , [00] , [16] , [00] , [76] , [13] , [D9] , 25:10:15:53:14:373
[01] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:14:473
[02] , [5B] , [00] , [17] , [18] , [8E] , [FD] , [31] , 25:10:15:53:14:473
[03] , [5B] , [00] , [18] , [00] , [77] , [12] , [D9] , 25:10:15:53:14:506
[01] , [5B] , [00] , [18] , [E5] , [98] , [E9] , [3E] , 25:10:15:53:14:573
[02] , [5B] , [00] , [19] , [19] , [8E] , [FD] , [30] , 25:10:15:53:14:606
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:14:706
[01] , [5B] , [00] , [1A] , [E6] , [97] , [EA] , [3E] , 25:10:15:53:14:706
[02] , [5B] , [00] , [1A] , [19] , [8E] , [FD] , [30] , 25:10:15:53:14:740
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:15:53:14:839
[01] , [5B] , [00] , [1B] , [E7] , [97] , [EB] , [3E] , 25:10:15:53:14:839
[02] , [5B] , [00] , [1B] , [19] , [8E] , [FD] , [30] , 25:10:15:53:14:873
[03] , [5B] , [00] , [1C] , [00] , [77] , [13] , [D9] , 25:10:15:53:14:939
[01] , [5C] , [00] , [1D] , [E9] , [97] , [EC] , [3E] , 25:10:15:53:15:006
[02] , [5B] , [00] , [1D] , [19] , [8E] , [FE] , [30] , 25:10:15:53:15:039
[03] , [5B] , [00] , [1D] , [FF] , [77] , [13] , [D9] , 25:10:15:53:15:073
[01] , [5B] , [00] , [1E] , [E9] , [97] , [EC] , [3E] , 25:10:15:53:15:139
[02] , [5B] , [00] , [1E] , [19] , [8E] , [FE] , [30] , 25:10:15:53:15:173
[03] , [5B] , [00] , [1F] , [00] , [77] , [13] , [D9] , 25:10:15:53:15:206
