[02] , [5A] , [00] , [A3] , [01] , [8C] , [0E] , [30] , 25:10:11:14:11:980
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:12:046
[01] , [5B] , [00] , [A4] , [06] , [85] , [06] , [1C] , 25:10:11:14:12:112
[02] , [5B] , [00] , [A5] , [01] , [8C] , [0E] , [30] , 25:10:11:14:12:146
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:12:246
[01] , [5A] , [00] , [A6] , [05] , [85] , [05] , [1C] , 25:10:11:14:12:246
[02] , [5B] , [00] , [A6] , [01] , [8C] , [0E] , [31] , 25:10:11:14:12:279
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:12:379
[01] , [5A] , [00] , [A7] , [05] , [85] , [05] , [1C] , 25:10:11:14:12:379
[02] , [5A] , [00] , [A7] , [01] , [8C] , [0E] , [31] , 25:10:11:14:12:412
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:12:512
[01] , [5A] , [00] , [A8] , [05] , [85] , [05] , [1C] , 25:10:11:14:12:512
[02] , [5B] , [00] , [A9] , [01] , [8C] , [0E] , [30] , 25:10:11:14:12:545
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:12:645
[01] , [5B] , [00] , [AA] , [05] , [85] , [04] , [1C] , 25:10:11:14:12:645
[02] , [5B] , [00] , [AA] , [01] , [8C] , [0E] , [30] , 25:10:11:14:12:679
[03] , [5B] , [00] , [D0] , [01] , [6C] , [13] , [C1] , 25:10:11:14:12:712
[01] , [5A] , [00] , [AB] , [05] , [85] , [04] , [1C] , 25:10:11:14:12:779
[02] , [5A] , [00] , [AB] , [01] , [8C] , [0F] , [30] , 25:10:11:14:12:812
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:12:912
[01] , [5B] , [00] , [AC] , [04] , [85] , [04] , [1C] , 25:10:11:14:12:912
[02] , [5B] , [00] , [AD] , [01] , [8C] , [0F] , [30] , 25:10:11:14:12:945
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:13:045
[01] , [5A] , [00] , [AE] , [03] , [84] , [04] , [1A] , 25:10:11:14:13:045
[02] , [5A] , [00] , [AE] , [01] , [8C] , [0E] , [30] , 25:10:11:14:13:079
[03] , [5B] , [00] , [D4] , [02] , [6B] , [13] , [C0] , 25:10:11:14:13:112
[01] , [5B] , [00] , [AF] , [03] , [84] , [04] , [1A] , 25:10:11:14:13:179
[02] , [5A] , [00] , [AF] , [02] , [8C] , [0E] , [31] , 25:10:11:14:13:212
[03] , [00] , [FF] , [00] , [00] , [00] , [00] , [00] , 25:10:11:14:13:312
[01] , [5B] , [00] , [B0] , [04] , [84] , [05] , [19] , 25:10:11:14:13:312
